pair,signal,z_score,hedge_ratio,sector,entry_time
FOX/FOXA,0,0.2583650133662615,0.8978,Communication Services,
MLM/VMC,0,0.9651441136035457,3.6296,Materials,
EVR/SF,0,0.582859839303413,4.1307,Financials,
FITB/UMBF,0,-0.7062309891609493,0.3796,Financials,
AVT/LSCC,1,-1.9949975199774814,0.1754,Information Technology,2026-02-18 20:12:54
KEY/USB,0,-1.9684003801373389,0.4635,Financials,
EME/PCAR,0,-2.9591363506290453,6.5839,Industrials,
BAX/LNTH,0,-0.6613214119999206,0.4125,Health Care,
APPF/DBX,-1,2.01274189585184,5.6447,Information Technology,2026-02-18 20:16:35
FLG/VLY,1,-2.490474753794162,1.2949,Financials,2026-02-18 20:12:54
DHI/PHM,0,0.1615364539736263,0.8622,Consumer Discretionary,
SWK/TTC,1,-1.6936052253752167,0.6788,Industrials,2026-02-18 20:12:54
RRX/SWK,-1,1.9460265752921972,3.692,Industrials,2026-02-18 20:12:54
AM/EQT,0,-0.04967222654571325,0.4657,Energy,
AGCO/TKR,-1,1.4239586672889466,1.5092,Industrials,2026-02-18 20:12:54
DTM/TRGP,0,1.4787701361349055,0.304,Energy,
HLT/MTN,0,-1.397168701894638,1.9405,Consumer Discretionary,
AVT/ENTG,1,-2.039740862932575,0.1369,Information Technology,2026-02-18 20:12:54
AVT/SYNA,0,-1.9067907514554947,0.2517,Information Technology,
AWK/CNP,0,1.7497796379512185,6.2768,Utilities,
EVRG/PPL,-1,1.8016647995060484,1.6335,Utilities,2026-02-18 20:12:54
FE/LNT,0,0.09286370897090813,0.7642,Utilities,
CMS/PPL,0,1.2024171697504515,1.4072,Utilities,
BC/FND,0,1.506130815916605,1.4679,Consumer Discretionary,
DTM/RRC,0,0.12724096423339165,0.8772,Energy,
