action,long,short,pair,hedge_ratio,z_score,timestamp,sector,shares_a,shares_b,price_a,price_b
ENTER_SHORT_SPREAD,TKR,AGCO,AGCO/TKR,1.5092,2.364245018464033,2026-02-17 10:45:33,Industrials,3,4,140.49,107.84
ENTER_SHORT_SPREAD,TKR,AGCO,AGCO/TKR,1.5092,2.364245018464033,2026-02-17 11:25:17,Industrials,3,4,140.49,107.84
ENTER_SHORT_SPREAD,ENTG,AVT,AVT/ENTG,0.1369,2.474873734153324,2026-02-17 12:05:24,Information Technology,7,3,65.8,130.0
ENTER_SHORT_SPREAD,VMC,MLM,MLM/VMC,3.6296,3.8073267120073577,2026-02-17 12:32:53,Materials,7,16,672.94,304.7
ENTER_LONG_SPREAD,KEY,USB,KEY/USB,0.4635,-3.5448366135987457,2026-02-17 12:32:53,Financials,230,86,21.69,58.0
ENTER_LONG_SPREAD,DHI,PHM,DHI/PHM,0.8622,-2.155082026703363,2026-02-17 12:32:53,Consumer Discretionary,29,34,166.75,143.0
ENTER_SHORT_SPREAD,FOXA,FOX,FOX/FOXA,0.8978,2.896284357145622,2026-02-17 13:42:56,Communication Services,96,88,51.7,56.6019
ENTER_SHORT_SPREAD,UMBF,FITB,FITB/UMBF,0.3796,2.927713619433834,2026-02-17 13:42:56,Financials,94,38,53.0,128.77
ENTER_SHORT_SPREAD,VLY,FLG,FLG/VLY,1.2949,2.337700441461083,2026-02-17 13:42:56,Financials,354,371,14.09,13.4621
ENTER_LONG_SPREAD,HLT,MTN,HLT/MTN,1.9405,-2.7285963598960925,2026-02-17 13:42:56,Consumer Discretionary,15,37,313.52,134.32
